lat,lng,magnitude
34.155771,-118.684994,4.6
34.010012,-118.566074,0.0
34.194588,-118.293980,0.0
34.256872,-118.647837,0.0
34.068769,-118.682122,0.0
33.987455,-118.396787,0.0
33.910614,-118.580697,0.0
34.159954,-118.373035,0.0
33.988176,-118.346441,0.0
34.223772,-118.696101,0.0
34.222328,-118.281116,0.0
34.036100,-118.606712,0.0
34.282885,-118.498043,0.0
33.937098,-118.641970,0.0
34.238998,-118.337764,0.0
34.222851,-118.262161,0.0
34.114491,-118.116131,0.0
34.051414,-118.368776,0.0
34.231762,-118.328888,0.0
34.244683,-118.353589,0.0
34.181829,-118.672505,0.0
33.991159,-118.526367,0.0
33.931917,-118.560325,0.0
33.940401,-118.533216,0.0
34.154274,-118.481101,0.0
34.048072,-118.574296,0.0
34.006791,-118.138007,0.0
34.159214,-118.334521,0.0
33.968455,-118.262524,0.0
33.965361,-118.472327,0.0
34.295809,-118.316000,0.0
34.122780,-118.289231,0.0
34.237141,-118.234400,0.0
33.991619,-118.680740,0.0
34.026181,-118.539355,0.0
33.984393,-118.134254,0.0
34.250547,-118.511193,0.0
34.162175,-118.462621,0.0
34.265819,-118.424689,0.0
34.005952,-118.552023,0.0
34.124547,-118.542355,0.0
34.133834,-118.161306,0.0
34.059760,-118.568408,0.0
34.299015,-118.394284,0.0
33.936364,-118.671730,0.0
33.943860,-118.323532,0.0
34.216832,-118.446704,0.0
33.925411,-118.471028,0.0
34.298449,-118.382531,0.0
34.288431,-118.183532,0.0
